x	pi	mw	tpm
XP_010940407.1	5.56	38.31134	54.32909
XP_010936409.1	8.537	25.93725	94.4975
XP_010940619.1	6.418	20.28006	50.75586
XP_010909007.1	9.126	68.6537	57.31687
XP_010934538.1	6.61	16.59189	101.6097
XP_010934675.1	5.074	32.26584	96.4652
XP_010930992.1	11.519	15.2679	100.508
XP_010906108.1	9.674	32.34106	51.37441
XP_010930382.1	8.946	13.5266	57.04073
XP_010924372.1	9.658	14.81089	223.8702
XP_010917983.1	8.577	11.68849	130.9601
XP_010906337.1	6.2	40.98911	485.661
XP_019710905.1	7.779	18.9229	82.17047
XP_010943231.1	5.412	106.9437	192.7717
XP_010928704.1	10.39	28.6458	347.5417
XP_010913273.1	7.128	16.53494	137.3727
XP_010914207.1	9.735	55.12642	50.43184
XP_010943272.1	4.801	49.64198	93.28744
XP_010930288.1	6.045	38.52232	51.20016
XP_010934368.1	6.583	74.05389	112.5553
XP_010916103.2	6.232	60.76851	79.82949
XP_010911232.1	9.503	27.82138	93.17368
XP_010939205.1	8.961	33.50826	67.43072
XP_010910964.2	5.575	47.29381	85.51175
XP_010920154.1	8.412	59.0316	202.595
XP_010908094.1	7.152	11.573	70.00046
XP_010910644.1	4.595	21.81041	2159.354
XP_010908071.1	8.949	19.39536	76.44201
XP_010928393.2	10.176	30.06637	173.3197
XP_010936745.1	6.939	15.31474	201.4309
XP_010933439.1	7.179	12.11079	330.4047
XP_019703213.1	5.764	23.95432	69.04955
XP_010933552.1	10.517	10.24103	516.1283
XP_010935122.1	4.453	18.35263	60.02117
XP_010917135.2	6.572	43.67314	69.64256
XP_010931732.1	9.022	15.8643	139.8725
XP_019702175.1	5.415	22.81008	96.63692
XP_010919138.1	7.293	20.61383	241.6175
XP_010913979.1	10.101	16.55194	71.23145
XP_010907489.1	4.666	23.00976	426.8986
XP_010931815.1	9.739	43.3006	221.7301
XP_010929656.1	5.927	50.05481	58.38511
XP_010911120.1	4.374	26.32068	105.6728
XP_010912016.1	6.453	28.25088	62.75667
XP_010937591.1	4.379	31.34562	95.40028
XP_010906084.1	6.623	74.61531	50.01714
XP_010934291.1	6.16	49.55751	57.6282
XP_010940959.1	4.982	52.6505	57.62774
XP_010913116.1	5.261	15.60288	84.96273
XP_010928210.2	4.302	13.24195	712.6103
XP_019704321.1	6.819	63.25742	207.2704
XP_010920668.1	10.357	17.02188	772.0472
XP_010922466.1	4.93	35.70907	218.7421
XP_010943617.1	5.614	10.99557	82.5299
XP_010935532.1	8.196	60.70707	66.46674
XP_010928956.1	8.995	22.06849	54.54491
XP_010904688.1	4.727	17.25341	86.46051
XP_010914922.1	9.748	11.81759	447.5164
XP_010940610.1	5.297	36.96149	314.1719
XP_010916787.1	12.176	10.98978	327.8752
XP_010913485.1	7.443	34.32512	611.4942
XP_010914727.1	3.616	10.07944	486.3558
XP_010942070.1	4.206	54.72455	50.16385
XP_010910878.1	4.697	62.84146	76.97568
XP_010911391.1	7.193	20.6233	55.07595
XP_010935560.1	5.676	30.86832	61.06877
XP_010929137.2	7.483	79.94451	141.2693
XP_010918218.1	7.644	26.7874	99.69475
XP_010919994.1	4.641	29.52701	59.51844
XP_019711246.1	10.134	6.40044	79.8064
XP_010930945.1	5.327	35.56413	55.04476
XP_010927154.1	8.727	31.13956	58.08125
XP_010914914.1	10.519	10.51822	53.23102
XP_010930192.1	9.391	44.87261	494.392
XP_010927764.1	6.184	13.39226	71.09005
XP_010940917.1	9.59	36.18006	55.05135
XP_010913084.1	9.62	64.06272	323.3721
XP_010914155.1	8.308	19.63443	1257.592
XP_010931852.1	10.454	14.02222	115.9328
XP_010921126.1	8.215	22.17942	67.75641
XP_010941596.1	8.849	33.51119	112.3548
XP_010942184.1	9.622	58.61527	58.14018
XP_010931489.1	7.355	53.01377	74.31575
XP_010906367.1	5.928	51.27039	95.1042
XP_010911267.1	4.018	21.79998	141.1087
XP_010928600.1	11.333	20.5438	63.52342
XP_010906407.1	5.931	37.03829	428.8639
XP_010914208.1	8.719	76.42337	56.16834
XP_010935409.1	5.413	16.44898	252.4809
XP_010921783.1	6.181	41.36102	159.0554
XP_010915650.1	10.514	10.37086	541.3742
XP_010914237.1	6.151	46.85577	55.03628
XP_010910500.1	9.786	58.02606	69.23607
XP_019709825.1	8.472	14.05423	192.055
XP_010925022.1	4.71	53.33734	76.59583
XP_010911047.1	6.482	13.14173	6959.395
XP_010908155.1	10.488	12.81572	103.1283
XP_010917603.1	8.285	21.79311	75.08902
XP_010919758.1	6.501	16.46501	323.309
XP_010934623.1	8.052	57.95141	51.72327
XP_010914131.1	5.722	58.63911	122.8071
NP_001306842.1	6.63	56.95839	297.5024
XP_010922242.1	6.995	24.40662	56.08426
XP_010922371.1	7.281	38.56542	58.90298
XP_010923585.1	4.684	26.52503	68.95074
XP_010937800.1	8.654	42.33439	67.59865
XP_010921684.1	4.424	18.96657	1817.415
XP_010943278.1	5.201	52.08546	111.3022
XP_010933979.1	6.017	36.10741	61.30158
XP_010915573.1	7.214	57.0977	196.1654
XP_010935053.1	5.951	33.09662	69.78193
XP_010916001.1	7.976	14.50642	117.5648
XP_010919769.1	4.711	15.61707	82.50452
XP_019704677.1	4.615	11.52414	52.169
XP_010922235.1	6.826	26.97561	113.9462
XP_010909465.1	10.457	13.69339	119.6388
XP_010927514.1	9.377	24.91393	313.0076
XP_010938634.1	5.24	14.53363	55.37774
XP_019706836.1	10.42	10.3079	95.32628
XP_010908239.1	5.672	17.31358	124.1229
XP_010937564.1	9.569	15.03201	136.512
XP_010918971.1	5.433	29.79521	486.7638
XP_019702263.1	10.056	24.86707	132.5077
XP_010904747.1	9.965	12.28737	135.9031
XP_010932259.1	4.801	58.39866	86.24196
XP_010928463.1	11.519	15.2839	260.7538
XP_010913971.1	5.61	47.14299	51.48838
XP_010927351.1	8.736	27.97266	109.3108
XP_010910595.1	10.378	16.66244	155.4003
XP_010927181.1	5.898	30.17403	143.0293
XP_010935556.1	4.482	37.30802	72.46351
XP_010917382.1	9.428	17.65816	150.5797
XP_010924199.1	9.675	25.43423	53.87805
XP_010936134.1	4.823	23.86562	63.71718
XP_010941201.1	10.266	32.36824	52.52408
XP_019709531.1	8.111	12.38428	70.41208
XP_019708605.1	7.667	37.66584	150.224
XP_010921362.1	6.871	24.20079	64.71454
XP_010942782.1	8.343	20.56895	50.27832
XP_010911549.1	7.679	36.87184	112.1258
XP_010939901.1	9.219	49.25648	69.85344
XP_010929114.1	5.165	22.86529	64.5705
XP_019705836.1	7.02	26.13525	1530.878
XP_019706976.1	6.002	41.67189	74.63194
XP_010923217.1	4.519	29.01368	180.108
XP_010934466.1	11.091	18.65698	329.9654
XP_010926435.1	5.931	27.62382	54.31251
XP_010943145.1	7.622	24.8902	62.61923
XP_010914929.1	6.579	25.07357	985.2727
XP_010908194.1	3.653	15.93631	135.3215
XP_010937690.1	10.132	14.82842	91.84153
XP_010914383.1	5.407	44.85488	55.5082
XP_010919240.1	4.039	16.59212	213.8584
XP_010934409.1	8.88	18.12133	55.8765
XP_010938261.1	6.099	34.72822	766.6443
XP_010918273.1	7.013	69.43108	103.321
XP_010922103.1	5.801	28.97466	66.79279
XP_010934668.1	4.662	16.3786	75.03735
XP_019708770.1	7.737	30.87979	88.34066
XP_019706525.1	7.351	36.36718	65.12627
XP_010906369.2	9.375	58.13139	78.86744
XP_010913293.1	7.968	17.28154	60.26384
XP_010931301.1	5.365	69.92557	78.02625
XP_010919055.1	10.914	19.12266	672.5201
XP_010921280.1	7.482	50.79425	69.11852
XP_010906283.1	7.842	25.27031	67.44948
XP_010911951.1	8.657	13.12603	50.60617
XP_010930303.1	8.509	68.90015	108.0071
XP_010909205.1	10.197	15.5725	75.27204
XP_010939600.1	3.391	19.9242	900.5548
XP_010927326.1	8.002	24.81916	102.3732
XP_010919241.1	7.673	71.4748	50.19632
XP_010904735.1	4.718	22.0307	120.273
XP_010941493.1	7.377	57.41328	50.84411
XP_010922336.1	4.966	7.65169	529.9997
XP_010921476.1	7.217	32.80707	84.49002
XP_010914686.1	4.597	14.50774	108.6945
XP_010925541.1	5.688	109.63314	64.84982
XP_010935931.1	9.908	16.25694	154.068
XP_010911978.1	4.645	11.2408	75.25954
XP_010934051.1	10.042	21.53197	364.1201
XP_010930377.1	9.684	40.24362	264.9591
XP_010939689.1	10.908	28.39723	75.60314
XP_010933544.1	6.393	21.39951	303.2348
XP_010923192.1	6.075	18.12088	81.01146
XP_010934348.1	10.958	16.38079	324.8847
XP_010943015.1	5.266	34.5815	898.102
XP_010930275.1	7.936	20.23774	250.6936
XP_010915644.1	7.793	46.70744	56.2826
XP_010924828.1	5.965	64.85435	50.3759
XP_010941022.1	5.415	32.61649	61.52171
XP_019704553.1	5.162	52.48092	51.06736
XP_010918601.1	9.538	53.55524	89.48057
XP_010906112.1	7.149	22.69644	53.71207
XP_010943207.1	8.71	39.94703	67.71738
XP_010928138.1	8.7	39.48506	98.79033
XP_010910221.1	8.192	57.8545	83.08176
XP_010925825.1	5.083	38.72977	74.25892
XP_010937080.1	6.073	22.53973	70.03728
XP_010942903.1	6.64	29.22134	70.25713
XP_010940939.1	11.396	15.40607	94.39914
XP_010922368.1	6.023	16.45556	105.7305
XP_010939271.1	10.886	12.38493	134.4963
XP_010918444.1	9.269	43.03008	53.86377
XP_010934913.1	5.267	40.09436	980.8658
XP_010921624.1	7.856	27.67136	76.35885
XP_010908221.1	8.28	33.2101	188.0539
XP_019709805.1	4.576	38.95788	50.07551
XP_010916803.1	8.533	38.52505	90.46264
XP_010933692.1	8.574	65.02509	93.02572
XP_010913615.1	9.71	11.80732	170.8762
XP_010931846.1	5.03	14.79397	106.7509
XP_019706065.1	4.766	16.7242	50.82682
XP_010938142.1	10.107	25.39024	123.6794
XP_010907324.1	9.428	53.09507	516.8798
XP_010908520.1	5.08	37.04074	179.995
XP_010938498.1	6.599	24.42407	115.2235
XP_010927720.1	4.654	28.15439	55.90534
XP_010938729.1	6.898	59.3821	99.18557
XP_010909090.2	5.771	49.00258	65.94178
XP_010931549.1	8.795	38.86199	176.9927
XP_010927893.1	5.717	47.87842	101.1652
XP_019701273.1	6.937	47.60164	113.2324
XP_010932804.1	10.122	48.94617	52.89195
XP_010907733.1	11.895	13.95236	109.6345
XP_010937077.1	5.878	30.3108	51.65272
XP_010909715.1	8.791	25.29529	142.3746
XP_010939849.1	6.636	51.81735	72.28477
XP_010921495.1	6.442	34.66603	137.5711
XP_010931359.1	8.327	9.80626	170.5405
XP_010920473.1	6.475	17.02722	470.6009
XP_010936424.1	5.652	40.43625	146.4145
XP_010910845.1	7.84	64.47324	54.05525
XP_010943855.1	8.777	14.84525	95.21713
XP_010941870.1	6.885	23.63076	252.7387
XP_010927304.1	6.773	67.53943	52.6878
XP_010919221.1	4.659	24.38011	101.0517
XP_010914147.1	4.409	12.4844	88.94228
XP_010917954.1	4.697	34.19351	60.09166
XP_010913209.1	4.53	51.15582	52.29427
XP_010941184.1	10.083	21.36388	161.9403
XP_010928433.1	8.289	44.53013	98.88473
XP_010926149.1	10.823	10.47492	177.0661
XP_010937140.1	10.442	48.68042	60.06794
XP_019708736.1	9.474	29.43808	60.08534
XP_010919979.1	8.535	35.89135	70.56886
XP_010936333.1	6.133	52.80975	68.25909
XP_010911333.2	7.329	54.07592	133.1295
XP_010929190.1	7.188	45.24192	94.48768
XP_010920090.1	10.606	28.46867	120.9696
XP_010918592.1	8.563	65.84531	167.7717
XP_010940832.1	6.213	47.34785	119.4641
XP_010906139.1	5.445	18.09691	117.2283
XP_019705171.1	5.372	25.85005	435.0328
XP_010935461.1	6.152	46.18217	109.1516
XP_010918931.1	5.67	107.27361	69.02973
XP_010907657.1	10.282	16.15564	119.509
XP_010920914.1	10.401	54.22614	66.08623
XP_010925128.2	9.889	96.04404	284.2423
XP_010920727.1	5.928	24.21891	108.5169
XP_019709183.1	4.6	12.27482	54.8474
XP_010935145.1	8.842	15.96434	83.53603
XP_010930032.1	10.315	26.44264	1224.228
XP_010904912.1	8.125	16.14957	107.1177
XP_010911228.2	6.424	35.08327	60.77677
XP_010920339.1	8.211	45.93812	622.0718
XP_010916150.1	9.356	16.69975	67.52058
XP_010930786.1	8.66	69.97719	157.456
XP_010931219.1	11.531	14.73109	69.27619
XP_010905286.1	9.949	11.13293	82.21389
XP_010915407.1	4.489	18.69612	79.06504
XP_010906790.2	10.603	33.61516	4962.27
XP_010941123.1	6.214	38.96573	138.4074
XP_010921302.1	7.403	24.00253	169.0485
XP_010936568.1	5.41	42.42612	94.50712
XP_010916360.1	5.762	33.11101	262.5886
XP_010911760.1	6.177	43.41442	194.2896
XP_010935597.1	7.784	55.39176	53.71606
XP_010917552.1	4.949	36.12628	70.66935
XP_010938339.1	6.98	16.98951	108.3142
XP_019707729.1	9.579	12.75142	311.6576
XP_010937062.1	7.892	36.6735	170.5894
XP_010941030.1	4.321	16.20162	4243.331
XP_010926963.1	7.71	17.87646	70.51087
XP_010918827.1	6.132	41.84136	157.0441
XP_010920675.1	5.078	17.31179	270.7034
XP_010910405.1	7.879	36.94727	729.9368
XP_010942358.1	6.391	48.35907	75.41854
XP_010927273.1	4.984	24.86243	88.13589
XP_010906322.1	6.21	35.44418	316.4568
XP_010909211.1	6.664	102.09721	444.9204
XP_010924122.1	10.923	44.73872	87.14739
XP_010916890.1	4.918	32.08274	62.58673
XP_010937006.1	8.143	32.22984	55.95999
XP_010931736.1	6.258	36.78659	54.42421
XP_010937212.1	4.746	30.90624	132.7849
XP_010932739.1	5.229	12.76695	1151.036
XP_010926280.1	7.264	36.07928	177.4623
XP_010933633.1	6.359	46.65439	319.3261
XP_010939695.1	11.396	15.40607	201.0397
XP_010939893.1	4.782	14.40074	117.0413
XP_010913143.1	8.628	21.4415	51.4549
XP_010922321.1	5.89	21.15408	136.6658
XP_010939297.1	8.135	15.59469	4086.858
XP_019709559.1	6.896	51.31491	95.80242
XP_010920796.1	10.34	22.54192	58.19157
XP_010924095.1	4.785	33.68797	121.5371
XP_010935076.1	7.49	19.23645	50.72725
XP_010911743.1	4.975	22.53506	92.42893
XP_010930892.1	8.318	52.5977	59.82256
XP_010938436.1	5.809	30.43024	92.78456
XP_010915366.1	4.383	42.6015	92.42303
XP_010931886.1	5.341	27.38461	98.81966
XP_010922188.1	6.551	29.98845	70.03131
XP_010920847.1	7.541	70.6485	129.6749
XP_010940481.1	4.881	49.57187	162.7485
XP_010934204.1	9.637	13.15081	93.74074
XP_019705338.1	8.043	5.92081	428.2615
XP_010921031.1	6.744	24.67172	339.6235
XP_010915830.1	5.618	34.50373	63.07531
XP_010909477.1	4.627	33.82328	91.85317
XP_010919260.1	6.543	45.88849	55.48004
XP_010936964.1	11.296	12.00409	1493.871
XP_010940453.1	9.441	23.04496	70.81932
XP_010928441.1	5.933	33.69418	63.17528
XP_010940710.1	6.477	40.67784	69.97836
XP_010929419.1	5.608	61.26493	116.9321
XP_019702910.1	10.622	48.42951	1559.323
XP_010930060.1	5.284	75.12682	198.4124
XP_010915295.1	5.752	37.27572	53.32755
XP_010943935.1	6.912	20.8543	884.1253
XP_010938144.1	8.454	14.24421	115.9647
XP_010918807.1	8.639	58.20186	62.65532
XP_010933984.1	7.842	26.25258	149.9879
XP_010927993.1	5.746	37.12338	265.822
XP_010927345.1	9.785	13.19494	65.99852
XP_010934981.2	5.934	42.79456	182.332
XP_019702962.1	6.193	11.59724	60.01534
XP_010928797.1	4.563	65.59411	51.01879
XP_010933518.1	7.305	13.6823	51.7602
XP_010913432.1	5.049	60.64722	208.6764
XP_010934750.1	4.603	50.14838	102.1577
XP_010917314.1	4.83	25.58563	67.13086
XP_010920808.1	6.747	43.64005	52.71827
XP_010911022.1	11.241	30.64768	760.4003
XP_010925610.2	6.653	47.78357	118.2209
XP_010931656.1	7.58	9.97717	598.6729
XP_010931680.1	11.621	21.08294	114.3145
XP_010911178.1	7.502	49.25912	214.333
XP_019702611.1	9.736	6.25248	276.2276
XP_010922271.1	9.08	47.29233	83.59293
XP_019704558.1	8.33	14.20464	58.12365
XP_010930236.1	11.248	22.95637	106.747
XP_010912043.1	4.773	48.18867	163.3602
XP_010920084.1	7.268	83.13519	59.32914
XP_010913580.1	4.899	48.05243	161.3889
XP_010934321.1	7.032	22.42744	58.20201
XP_010925353.1	5.242	17.33454	60.24691
XP_010926983.1	8.277	44.73496	128.7235
XP_010936871.1	4.861	16.50327	63.24435
XP_010913399.1	5.184	46.257	110.493
XP_010938048.1	11.07	61.30432	70.77613
XP_010933532.1	7.798	23.03228	93.52236
XP_010905871.2	7.717	12.68973	899.9427
XP_010913244.1	6.643	35.49438	103.4304
XP_010932524.1	3.801	30.66984	64.58552
XP_010918065.1	7.508	55.45677	88.17577
XP_010929313.1	7.338	11.35722	75.15519
XP_010923440.1	5.865	46.6827	52.45076
XP_010906182.1	6.614	30.55092	69.03533
XP_010909935.1	8.956	35.24819	122.7498
XP_010911388.2	4.773	74.6621	94.01793
XP_010920579.1	5.938	27.26512	145.5588
XP_010937945.1	9.834	22.31788	68.38046
XP_010930835.1	6.388	57.56573	156.6261
XP_010934830.1	4.941	70.5498	55.48187
XP_010908105.1	4.604	50.20158	53.1999
XP_010905538.1	9.76	8.49147	77.07869
XP_010906977.1	9.497	49.52456	64.29064
XP_010911328.1	4.6	45.93193	87.49197
XP_019708309.1	8.096	114.77997	65.28996
XP_010940106.1	7.791	25.75626	84.65016
XP_010931078.1	7.933	24.94895	132.9605
XP_010912355.2	9.475	32.07074	54.9157
XP_010904622.1	8.289	87.39397	109.2098
XP_010932602.1	5.211	23.56589	76.43273
XP_010925342.1	5.002	19.7904	349.813
XP_010912571.1	7.892	37.1239	57.51731
XP_019706705.1	5.885	18.11067	76.13278
XP_010910383.1	8.479	32.05293	159.8998
XP_010922738.1	8.332	9.26267	188.7646
XP_010934306.1	10.708	15.38417	87.17502
XP_019704363.1	7.217	32.80707	119.1546
XP_010915297.1	6.689	37.0658	50.11519
XP_019709218.1	4.468	17.69528	1090.951
XP_010912681.1	4.656	18.89878	121.2873
XP_010937379.1	4.59	29.4311	77.47422
XP_010933716.1	7.214	59.51479	51.03957
XP_010940987.1	9.145	17.65426	156.5102
XP_010924439.1	5.289	24.11154	501.5835
XP_010938024.1	9.402	57.9024	62.91734
XP_010909027.1	5.775	24.26056	884.9861
XP_010920818.1	8.772	40.08774	75.65883
XP_010937918.2	8.434	24.51429	249.2824
XP_010917625.1	5.828	26.89746	53.25961
XP_010905633.1	6.053	35.62371	104.1482
XP_019705094.1	9.945	25.51144	72.43749
XP_010906864.1	5.68	17.35361	392.2317
XP_010909926.1	10.726	51.91238	60.12056
XP_010927348.1	7.502	60.77413	73.82689
XP_010924897.1	5.355	43.25127	70.14677
XP_010906353.2	7.836	29.94893	148.8215
XP_010920296.1	6.577	57.65944	69.11853
XP_010934820.1	4.797	20.88977	115.0061
XP_010919519.1	9.02	12.07853	66.39879
XP_010907245.1	6.467	16.4428	160.0597
XP_010914292.1	7.297	21.76233	50.11571
XP_010922923.1	6.639	20.73579	444.2467
XP_010943196.1	5.215	27.92592	91.13422
XP_010920591.1	7.803	11.11684	67125.88
XP_010929408.1	7.48	25.20914	301.2076
XP_010914864.1	7.817	17.29343	60.73049
XP_010912406.1	5.232	41.65265	66.09756
XP_019704621.1	5.69	54.22958	128.5574
XP_010907058.1	5.778	65.75719	62.84795
XP_010920552.1	9.221	33.04781	226.7227
XP_010943186.1	9.436	39.54335	249.671
XP_010917045.1	4.972	31.69489	67.78505
XP_010935221.1	10.928	14.21769	75.20861
XP_010936717.1	5.3	19.78659	65.52687
XP_010911069.1	10.654	12.85598	73.59016
XP_010918614.1	5.476	25.86346	50.02627
XP_019710100.1	4.833	14.351	326.1653
XP_010921430.1	4.867	19.34124	89.86438
XP_010913836.1	5.13	45.3532	61.25495
XP_010911190.1	4.663	50.1862	155.3188
XP_010920407.1	7.14	30.25901	83.21222
XP_010909320.1	4.902	15.98519	154.1308
XP_010907834.1	10.664	17.4557	80.81653
XP_010937122.1	10.442	49.96172	54.22579
XP_010929878.1	7.154	109.87425	88.14012
XP_010905292.1	7.902	22.9381	217.6237
XP_010938255.1	5.978	33.84246	60.53944
XP_010909533.1	4.859	29.15602	103.539
XP_010927261.1	10.472	28.60579	283.1396
XP_010942133.1	4.793	47.36501	63.42702
XP_010940891.1	10.297	29.53575	51.74473
XP_010906912.1	8.449	19.02912	861.7027
XP_010928438.1	9.839	38.57819	145.6722
XP_010914876.1	7.726	12.32398	76.38113
XP_019704430.1	5.584	39.44691	83.62937
XP_010937308.1	9.322	28.93826	79.09655
XP_010920481.1	8.973	15.95304	308.8702
XP_010915852.1	9.376	79.07149	132.3556
XP_010936383.1	8.436	49.66138	75.60429
XP_010941399.1	4.459	33.90729	348.7038
XP_010905723.1	4.9	24.93024	53.3986
XP_010905270.1	9.243	35.76343	71.73136
XP_010934817.1	9.873	14.96231	330.9984
XP_019706398.1	5.649	44.21592	1004.897
XP_010937139.1	11.703	13.81629	222.3524
XP_010936368.1	6.148	16.25548	675.2719
XP_010916969.1	7.965	34.69656	158.8796
XP_010905697.1	8.674	24.18757	80.02815
XP_010934327.1	6.307	77.53562	250.923
XP_010910480.1	5.945	21.0102	376.9379
XP_010934533.1	6.62	41.88014	68.76792
XP_010916940.1	8.66	9.63918	61.13046
XP_010919912.1	4.613	14.20647	180.2035
XP_019705584.1	9.652	21.81154	345.2382
XP_010917299.1	4.59	28.97243	74.40241
XP_010939767.1	9.837	8.73517	169.235
XP_010937305.1	8.169	24.72807	270.805
XP_010943716.1	6.637	46.57741	171.0799
XP_010929591.1	9.003	13.10334	62.94266
XP_010907409.1	6.45	66.24035	60.00169
XP_010932505.1	5.372	35.2916	134.7123
XP_010917598.1	4.356	13.09846	427.4712
XP_010935189.1	11.541	27.07985	83.75382
XP_010932709.1	9.133	36.88288	136.5574
XP_010942097.1	9.076	12.5344	110.7032
XP_010933174.1	6.085	119.85489	69.64635
XP_010943343.1	4.858	90.36031	60.74669
XP_010926134.1	4.673	41.92331	76.15937
XP_019702647.1	9.947	8.33484	236.4512
XP_010912442.1	6.553	16.66119	487.7749
XP_010942977.1	6.189	26.54745	60.24496
XP_010916049.1	6.239	18.03172	54.19048
XP_010927705.1	6.304	44.95327	72.74782
XP_010943330.1	8.415	38.58704	105.3135
XP_010926660.1	11.73	30.45045	153.8221
XP_010926052.1	6.591	35.02018	64.84398
XP_010920826.1	8.903	47.60425	53.38209
XP_010934375.1	8.27	15.81444	86.95953
XP_010904875.1	5.517	59.49157	109.1579
XP_010914939.2	9.055	47.89863	120.0598
XP_010929418.1	5.276	22.64765	58.58392
XP_010933183.1	5.935	25.77177	214.7534
XP_010913136.2	9.093	47.36192	63.1844
XP_010915711.1	7.743	16.57515	126.659
XP_019706426.1	7.015	15.13253	439.0698
XP_010941080.1	4.89	80.49641	73.00749
XP_010932910.1	9.24	14.91309	555.9258
XP_010940165.1	5.226	13.14495	81.29148
XP_010926230.1	7.991	12.81523	1072.411
XP_010912757.1	6.764	51.59087	72.16584
XP_010915023.1	5.036	45.73666	387.8274
XP_010919272.1	10.278	21.1765	119.5701
XP_010938857.1	10.659	14.69492	53.84663
XP_010914322.1	4.708	30.61001	56.97279
XP_019701707.1	9.225	20.22515	53.26955
XP_010924463.1	4.645	9.08909	101.4081
XP_010907982.1	6.224	46.46849	145.4749
XP_019708407.1	4.824	13.72441	1775.182
NP_001290506.1	9.347	49.32414	97.77417
XP_010913254.1	6.929	43.74033	63.11367
XP_010934495.1	5.29	39.71629	102.3468
XP_010927912.1	9.119	34.90473	55.1965
XP_019711064.1	9.051	38.42543	60.69108
XP_010918391.1	6.217	58.56073	57.06383
XP_010942557.1	9.823	17.10441	340.8182
XP_010929523.1	6.459	21.758	53.37589
XP_010931697.1	5.152	58.62585	77.64993
XP_010914377.1	7.365	12.03271	50.47152
XP_010940219.1	9.147	17.07793	539.4425
XP_010939359.1	9.62	28.40661	82.86826
XP_010920738.1	11.448	14.26327	472.431
XP_010910946.1	6.49	40.03845	50.85093
XP_010910157.1	6.48	42.33124	70.51424
XP_010922329.1	8.46	45.40268	74.42007
XP_019705412.1	6.706	30.01405	1678.282
XP_019702015.1	4.851	21.69226	50.79325
XP_010943581.1	10.223	22.35809	346.6662
XP_010933390.1	8.404	19.32925	84.14545
XP_010938698.1	5.362	14.93305	85.66135
XP_010938227.1	7.912	43.36564	61.37151
XP_010929102.1	9.484	10.15177	90.12551
XP_010926930.1	7.821	45.78135	128.6814
XP_010905185.1	7.091	28.63974	95.66936
XP_010921602.1	11.693	24.27979	149.3896
XP_010923360.1	7.211	14.67856	76.1269
XP_010941913.2	9.396	42.04286	114.8421
XP_019704221.1	8.354	17.237	73.05648
XP_019708847.1	6.524	25.01748	190.3379
XP_010909242.1	7.33	27.61031	193.2882
XP_010935558.1	10.187	27.07424	65.24306
XP_010939147.1	10.502	16.0335	78.1084
XP_010932153.1	5.937	15.77859	135.5892
XP_010943362.1	7.594	15.97225	58.7954
XP_010915506.1	4.944	51.98545	62.57547
XP_010924381.1	7.18	17.35495	152.1577
XP_019705035.1	5.476	36.69322	58.48973
XP_010943638.1	6.541	18.80979	61.06799
XP_019701505.1	9.293	24.35814	69.22308
XP_010924635.1	9.343	16.53595	919.254
XP_010934637.1	5.447	22.63364	88.71214
XP_010934145.1	4.201	29.19255	199.8708
XP_010937886.1	9.498	10.04367	363.0921
XP_010914267.1	9.633	39.50505	188.1011
XP_010915086.1	5.242	17.30252	333.2663
XP_010942800.1	8.233	30.61427	83.0265
XP_010941297.1	4.166	38.82885	62.45141
XP_010936428.1	9.983	27.42821	270.0542
XP_010937806.1	9.273	49.3351	192.1398
XP_010910775.1	7.565	57.72683	197.7127
XP_010924497.1	5.97	75.4382	109.0863
XP_010931673.1	10.405	10.45859	233.3554
XP_010911129.1	9.488	17.6895	75.69552
XP_019706112.1	10.894	24.17361	585.9517
XP_010938353.1	11.693	24.19962	622.0636
XP_010941084.1	4.222	42.36051	55.65184
XP_010921812.1	8.18	9.25549	181.5829
XP_010915373.1	4.438	14.19619	60.85621
XP_010904898.1	6.355	106.22885	74.99456
XP_019702418.1	10.282	33.26089	78.14964
XP_010937279.1	5.205	26.83891	72.07813
XP_010905380.1	5.275	9.68309	83.52456
XP_010939881.1	6.71	46.23287	315.1118
XP_010924021.2	4.255	27.98014	55.317
XP_019708608.1	8.856	35.33132	63.91825
XP_010943203.1	10.718	31.78402	70.81387
XP_010938860.1	7.99	50.42966	98.75769
XP_010910300.1	5.725	19.25062	277.6472
XP_010929605.1	7.772	49.52979	60.78773
XP_010939805.2	5.095	23.47045	60.57623
XP_010941157.1	5.945	48.702	2502.88
XP_010918538.1	6.017	34.6456	76.88153
XP_010940082.1	11.609	20.01353	68.89195
XP_010908337.1	7.091	18.13675	74.08864
XP_010931692.1	11.75	24.08758	3580.751
XP_010934030.1	4.778	40.71661	102.8843
XP_010931372.1	6.818	44.12928	57.71025
XP_010932747.1	7.187	76.24546	981.5129
XP_010943508.1	10.5	19.06466	126.8119
XP_010931956.1	7.966	50.42008	56.78109
XP_010920534.1	8.267	43.97931	57.85733
XP_010943972.1	6.884	34.23559	50.64985
XP_010921010.1	4.514	25.34989	98.69029
XP_010938368.1	6.229	92.73616	180.245
XP_010917977.1	10.439	8.08005	52.59526
XP_010922436.1	11.334	14.34537	187.8903
XP_019709953.1	6.144	59.27326	112.9327
XP_010935916.1	9.967	21.10783	361.1909
XP_010931890.1	9.791	30.30761	100.9851
XP_010926203.1	5.058	52.47246	185.2831
XP_010912277.1	5.393	32.31204	250.0434
XP_010934379.1	7.895	20.24638	1801.32
XP_010917507.1	6.109	20.23275	188.4277
XP_019709026.1	7.277	31.11887	6863.458
